调度名,币对(标准),总收益,成交收益,资金费收益,手续费,滑点,当期资金费率,当期资金费,成交量,最大持仓,当前持仓,换手率,敞口,市场成交占比,总收益率,成交收益率,资金费收益率,滑点率,手续费率,持仓占比,账户1,账户2,仓位数量,调度最后成交时间,调度最大对冲延迟,主机,调度最后更新时间,配对盈利,价差值,配对胜率,波动率,买卖单卖单数量,买卖单买单数量,配对笔数,累计资金费率
fr-LINK-USDT-loong_kc_byfutures_mode_0,LINK-USDT-FTR,1.9095350379430982E+01,-1.5479524260569022E+01,3.4574874640000004E+01,9.018241451532958E+00,-7.34889959786088E+01,1E-04 | 0E+00,1.458914892E+01,6.4547499158248305E+04,-1.229560029E+05,-1.4589148919999998E+05,5.249641956134888E-01,4.393166416329145E+00,0E+00,2.958340854169383E-04,-2.3981601862867752E-04,2.8119712600058834E-04,-1.1385258443311493E-03,1.397148079962529E-04,9.049953283393196E-03,asset04,precursor007,-1.5318300000000001E+04,2025-12-09 02:32:00,1.71E+02,prod-strategy-sgap4,2026-01-22 17:17:59,-5.799270183868045E+00,5.557303135155234E-04|kucoin_spot,1.836734693877551E-01,1.162748087133212E+00,5.6E+01,0E+00,2.7E+01,5.053200000000001E-04 | 0E+00
fr-B2-USDT-loong_kc_byfutures_mode_6,B2-USDT-FTR,1.675880848E+01,0E+00,1.675880848E+01,0E+00,0E+00,5E-05 | 0E+00,1.1766901E-01,0E+00,-2.5716394999999998E+03,-2.3533802E+03,0E+00,0E+00,0E+00,0E+00,0E+00,6.51677985191937E-03,0E+00,0E+00,1.8928085484087113E-04,asset04,precursor007,-2.8089999999999995E+03,2025-12-24 06:29:47,0E+00,prod-strategy-sgap4,2025-12-25 14:07:00,0E+00,2.169720347155346E-03|kucoin_spot,0E+00,1.2373267696934387E+00,0E+00,0E+00,0E+00,7.073269999999998E-03 | 0E+00
fr-XPIN-USDT-loong_kc_byfutures_mode_2,XPIN-USDT-FTR,1.526484418E+01,0E+00,1.526484418E+01,0E+00,0E+00,1.9445E-04 | 0E+00,3.3088860369E-01,0E+00,-1.76895576E+03,-1.7016642E+03,0E+00,0E+00,0E+00,0E+00,0E+00,8.62929674397284E-03,0E+00,0E+00,1.3020077597520295E-04,asset04,precursor007,-7.452E+05,2025-12-23 03:49:54,0E+00,prod-strategy-sgap4,2026-01-01 18:10:36,0E+00,1.8403295066165004E-03|bybit_linear_futures,0E+00,1.0373137743088514E+00,0E+00,0E+00,0E+00,8.979879999999994E-03 | 0E+00
fr-XPIN-USDT-loong_kc_byfutures_mode_3,XPIN-USDT-FTR,1.526484418E+01,0E+00,1.526484418E+01,0E+00,0E+00,1.9445E-04 | 0E+00,3.3088860369E-01,0E+00,-1.76895576E+03,-1.7016642E+03,0E+00,0E+00,0E+00,0E+00,0E+00,8.62929674397284E-03,0E+00,0E+00,1.3020077597520295E-04,asset04,precursor007,-7.452E+05,2026-01-03 11:31:05,0E+00,prod-strategy-sgap4,2026-01-05 20:21:44,0E+00,1.8403295066165004E-03|bybit_linear_futures,0E+00,1.0373137743088514E+00,0E+00,0E+00,0E+00,8.979879999999994E-03 | 0E+00
fr-Q-USDT-loong_kc_byfutures_mode_0,Q-USDT-FTR,1.3689158729999999E+01,0E+00,1.3689158729999999E+01,0E+00,0E+00,5E-05 | 0E+00,5.7258354E-02,0E+00,-1.33844346E+03,-1.14516708E+03,0E+00,0E+00,0E+00,0E+00,0E+00,1.0227670528570553E-02,0E+00,0E+00,9.851370002092958E-05,asset04,precursor007,-6.038E+04,2026-01-03 14:11:32,0E+00,prod-strategy-sgap4,2026-01-16 15:12:11,0E+00,2.9040604044563434E-03|bybit_linear_futures,0E+00,3.020040876393644E+00,0E+00,0E+00,0E+00,1.0252559999999996E-02 | 0E+00
fr-RENDER-USDT-loong_kc_byfutures_mode_0,RENDER-USDT-FTR,1.364525634E+01,0E+00,1.364525634E+01,0E+00,0E+00,5E-05 | 0E+00,1.7327394380000003E+00,0E+00,-3.677698128E+04,-3.465478876E+04,0E+00,0E+00,0E+00,0E+00,0E+00,3.7102708991019177E-04,0E+00,0E+00,2.706902913547998E-03,asset04,precursor007,-2.26739E+04,2026-01-09 10:53:40,0E+00,prod-strategy-sgap4,2026-01-20 05:16:13,0E+00,2.022310653010617E-03|kucoin_spot,0E+00,1.3818902918647336E+00,0E+00,0E+00,0E+00,5.806000000000001E-04 | 0E+00
fr-STX-USDT-loong_kc_byfutures_mode_0,STX-USDT-FTR,1.3634120061276345E+01,2.2191332331276346E+01,-8.55721227E+00,1.9218519140558783E+00,-3.48331028111279E+01,-1.9713E-04 | 0E+00,-4.322897912916E-01,1.9296755125924945E+04,-8.91152255E+03,-2.19291732E+03,2.1653712951581934E+00,3.79349989272356E+00,0E+00,7.065498822109774E-04,1.1500033133271497E-03,-9.602413304783705E-04,-1.8051274726666386E-03,9.95945640349602E-05,6.559164323761942E-04,asset04,precursor007,-8.433E+03,2026-01-10 00:37:41,5.5E+01,prod-strategy-sgap4,2026-01-22 17:17:54,1.2128185453424322E+01,2.6871401151631336E-03|kucoin_spot,7.821782178217822E-01,1.2620122911167082E+00,4.2E+01,0E+00,7.9E+01,-1.1167299999999998E-03 | 0E+00
fr-LDO-USDT-loong_kc_byfutures_mode_0,LDO-USDT-FTR,1.2614495753128805E+01,-8.701877416871193E+00,2.131637317E+01,1.0171257356123533E+00,-3.0970380149781768E+01,1E-04 | 0E+00,3.2534873839999996E+00,1.0209563180565834E+04,-4.01174334E+04,-3.2534873839999997E+04,2.5449193318947055E-01,2.0047082551002497E+00,0E+00,1.2355568529259725E-03,-8.523261243375662E-04,5.313493751571853E-04,-3.0334677010212035E-03,9.962480447238706E-05,2.9527708249829404E-03,asset04,precursor007,-7.837840000000001E+04,2026-01-03 08:37:00,7.2E+01,prod-strategy-sgap4,2026-01-22 17:17:50,-4.882780059380936E+00,1.4412683161182382E-03|kucoin_spot,4E-01,1.3352366263802329E+00,5E+01,0E+00,1.2E+01,7.674600000000002E-04 | 0E+00
fr-TRUTH-USDT-loong_kc_byfutures_mode_1,TRUTH-USDT-FTR,8.072313623913706E+00,-9.014073760862953E-01,8.973721000000001E+00,2.3781086318194866E-02,-3.297320450656116E-02,5E-05 | 0E+00,1.1971544999999999E-01,1.6815742897987366E+02,-2.5407702999999997E+03,-2.3943089999999997E+03,6.618364083517257E-02,7.6201E-02,0E+00,4.800450192943816E-02,-5.360496896002034E-03,3.5318899154323405E-03,-1.9608532734231827E-04,1.4142156229708511E-04,1.870087834388516E-04,asset04,precursor007,-1.709E+05,2026-01-03 11:44:40,4.2E+01,prod-strategy-sgap4,2026-01-21 19:09:01,-6.596112804439258E-01,1.2040512784190494E-03|kucoin_spot,0E+00,1.9253472249990748E+00,0E+00,0E+00,0E+00,3.8834300000000024E-03 | 0E+00
fr-PNUT-USDT-loong_kc_byfutures_mode_0,PNUT-USDT-FTR,7.6961243500000025E+00,0E+00,7.6961243500000025E+00,0E+00,0E+00,5E-05 | 0E+00,1.047991446E+00,0E+00,-1.9710127060000003E+04,-2.095982892E+04,0E+00,0E+00,0E+00,0E+00,0E+00,3.9046548642594097E-04,0E+00,0E+00,1.450728105140315E-03,asset04,precursor007,-3.6668700000000006E+05,2025-12-10 22:18:47,0E+00,prod-strategy-sgap4,2026-01-21 21:38:13,0E+00,2.4449877750611915E-03|kucoin_spot,0E+00,1.4206073164197335E+00,0E+00,0E+00,0E+00,6.849199999999999E-04 | 0E+00
fr-LYN-USDT-loong_kc_byfutures_mode_0,LYN-USDT-FTR,5.781536540000001E+00,0E+00,5.781536540000001E+00,0E+00,0E+00,5E-05 | 0E+00,1.16740538E-01,0E+00,-2.34394936E+03,-2.33481076E+03,0E+00,0E+00,0E+00,0E+00,0E+00,2.4665791158559845E-03,0E+00,0E+00,1.7252213561213105E-04,asset04,precursor007,-2.0308E+04,2026-01-03 12:59:51,0E+00,prod-strategy-sgap4,2026-01-12 10:26:17,0E+00,5.174984650469172E-03|kucoin_spot,0E+00,1.4339785900186743E+00,0E+00,0E+00,0E+00,2.6561400000000013E-03 | 0E+00
fr-LYN-USDT-loong_kc_byfutures_mode_1,LYN-USDT-FTR,5.78153654E+00,0E+00,5.78153654E+00,0E+00,0E+00,5E-05 | 0E+00,1.16740538E-01,0E+00,-2.34394936E+03,-2.33481076E+03,0E+00,0E+00,0E+00,0E+00,0E+00,2.466579115855984E-03,0E+00,0E+00,1.7252213561213105E-04,asset04,precursor007,-2.0308E+04,2026-01-12 02:29:27,0E+00,prod-strategy-sgap4,2026-01-23 17:52:41,0E+00,5.174984650469172E-03|kucoin_spot,0E+00,1.4339785900186743E+00,0E+00,0E+00,0E+00,2.6561400000000013E-03 | 0E+00
fr-AVAAI-USDT-loong_kc_byfutures_mode_6,AVAAI-USDT-FTR,4.280925959999999E+00,0E+00,4.280925959999999E+00,0E+00,0E+00,5E-05 | 0E+00,1.300661887E-01,0E+00,-2.721447784E+03,-2.601323774E+03,0E+00,0E+00,0E+00,0E+00,0E+00,1.573032554645553E-03,0E+00,0E+00,2.0030722150609154E-04,asset04,precursor007,-2.55583E+05,2025-12-18 07:47:00,0E+00,prod-strategy-sgap4,2026-01-19 16:48:36,0E+00,3.021737011404513E-03|kucoin_spot,0E+00,4.408199627824264E+00,0E+00,0E+00,0E+00,2.1999999999999993E-03 | 0E+00
fr-SWARMS-USDT-loong_kc_byfutures_mode_5,SWARMS-USDT-FTR,3.15669761E+00,0E+00,3.15669761E+00,0E+00,0E+00,5E-05 | 0E+00,6.006341745E-02,0E+00,-1.6512878790000002E+03,-1.201268349E+03,0E+00,0E+00,0E+00,0E+00,0E+00,1.9116579550693836E-03,0E+00,0E+00,1.2154004530008544E-04,asset04,precursor007,-1.35141E+05,2026-01-03 13:25:43,0E+00,prod-strategy-sgap4,2026-01-16 17:27:30,0E+00,3.1347962382444194E-03|kucoin_spot,0E+00,2.340580474456105E+00,0E+00,0E+00,0E+00,2.1999999999999993E-03 | 0E+00
fr-STBL-USDT-loong_kc_byfutures_mode_1,STBL-USDT-FTR,3.1123873300000002E+00,0E+00,3.1123873300000002E+00,0E+00,0E+00,5E-05 | 0E+00,5.671809E-02,0E+00,-1.5920320199999999E+03,-1.1343618E+03,0E+00,0E+00,0E+00,0E+00,0E+00,1.954977846488289E-03,0E+00,0E+00,1.171786254176135E-04,asset04,precursor007,-3.3561E+04,2025-12-09 08:38:26,0E+00,prod-strategy-sgap4,2025-12-30 17:54:11,0E+00,1.777777777777656E-03|kucoin_spot,0E+00,1.2808461743530195E+00,0E+00,0E+00,0E+00,2.1999999999999993E-03 | 0E+00
