调度名,币对(标准),总收益,成交收益,资金费收益,手续费,滑点,当期资金费率,当期资金费,成交量,最大持仓,当前持仓,换手率,敞口,市场成交占比,总收益率,成交收益率,资金费收益率,滑点率,手续费率,持仓占比,账户1,账户2,仓位数量,调度最后成交时间,调度最大对冲延迟,主机,调度最后更新时间,配对盈利,价差值,配对胜率,波动率,买卖单卖单数量,买卖单买单数量,配对笔数,累计资金费率
fr-AIXBT-USDT-loong_by_byfutures_pm_mode_0,AIXBT-USDT-FTR,-5.59152749E+00,0E+00,-5.59152749E+00,0E+00,0E+00,-8.104E-05 | 0E+00,-1.1409203433599999E-01,0E+00,-1.5822234E+03,-1.4078483999999999E+03,0E+00,0E+00,0E+00,0E+00,0E+00,-3.5339683953606042E-03,0E+00,0E+00,9.399417209965244E-05,asset06,asset06,-5.796E+04,2026-01-03 14:32:14,0E+00,prod-strategy-sgap3,2026-01-11 06:04:51,0E+00,1.6467682173735287E-03|bybit_spot,0E+00,1.468474584283807E+00,0E+00,0E+00,0E+00,-2.986250000000002E-03 | 0E+00
fr-CC-USDT-loong_by_byfutures_pm_mode_1,CC-USDT-FTR,-6.299290177831447E+00,5.604492421685521E-01,-6.8597394199999995E+00,9.078523988297093E+00,-5.9632590035907924E+01,-5.809E-05 | 0E+00,-1.1596213926400001E-01,2.9319203445911407E+04,-1.264841648E+04,-1.9962496E+03,2.3180137602419784E+00,-6.225377863922119E+00,0E+00,-2.1485202316128715E-04,1.9115432081996324E-05,-5.423397807027303E-04,-2.0339089411456623E-03,3.096442918391462E-04,7.513966961992852E-04,asset06,asset06,-1.0624E+04,2025-12-11 08:34:44,5.2E+01,prod-strategy-sgap3,2026-01-31 11:21:14,3.0671523568211114E+00,1.7023993190403708E-03|bybit_spot,4.880952380952381E-01,1.5278062906812255E+00,0E+00,0E+00,4.1E+01,4.351000000000021E-05 | 0E+00
fr-TON-USDT-loong_by_byfutures_pm_mode_2,TON-USDT-FTR,-6.3226910499999995E+00,0E+00,-6.3226910499999995E+00,0E+00,0E+00,-1.068E-05 | 0E+00,-5.4854328708E-02,0E+00,-5.8606374E+03,-5.1361731E+03,0E+00,0E+00,0E+00,0E+00,0E+00,-1.0788401701835367E-03,0E+00,0E+00,3.481592804083542E-04,asset06,asset06,-3.8190000000000005E+03,2025-12-09 16:02:03,0E+00,prod-strategy-sgap3,2026-01-12 11:46:21,0E+00,1.9253554502369763E-03|bybit_spot,0E+00,8.849576674589833E-01,0E+00,0E+00,0E+00,-1.1997700000000006E-03 | 0E+00
fr-TON-USDT-loong_by_byfutures_pm_mode_3,TON-USDT-FTR,-6.3226910499999995E+00,0E+00,-6.3226910499999995E+00,0E+00,0E+00,-1.068E-05 | 0E+00,-5.4854328708E-02,0E+00,-5.8606374E+03,-5.1361731E+03,0E+00,0E+00,0E+00,0E+00,0E+00,-1.0788401701835367E-03,0E+00,0E+00,3.481592804083542E-04,asset06,asset06,-3.8190000000000005E+03,2026-01-12 06:14:19,0E+00,prod-strategy-sgap3,2026-01-22 05:32:40,0E+00,1.9253554502369763E-03|bybit_spot,0E+00,8.865089374958615E-01,0E+00,0E+00,0E+00,-1.1997700000000006E-03 | 0E+00
fr-TRX-USDT-loong_by_byfutures_pm_mode_34,TRX-USDT-FTR,-6.82803373E+00,0E+00,-6.82803373E+00,0E+00,0E+00,-2.9791E-04 | 0E+00,-5.494982481772E-01,0E+00,-1.9209211699999998E+03,-1.84451092E+03,0E+00,0E+00,0E+00,0E+00,0E+00,-3.554562173938663E-03,0E+00,0E+00,1.1411498214654499E-04,asset06,asset06,-6.503E+03,2026-01-03 14:43:00,0E+00,prod-strategy-sgap3,2026-01-15 19:59:27,0E+00,1.2683201803833644E-03|bybit_spot,0E+00,2.4763832995979795E-01,0E+00,0E+00,0E+00,-4.55499E-03 | 0E+00
fr-POPCAT-USDT-loong_by_byfutures_pm_mode_4,POPCAT-USDT-FTR,-7.353637202559696E+00,-2.379214539255969E+01,1.6438508189999993E+01,3.8224980663726456E+00,-3.1342030161991715E+01,5E-05 | 0E+00,4.0364048835E+00,1.2349312499761581E+04,-1.0193763565000001E+05,-8.072809767E+04,1.2114576153367532E-01,-6.944471545410156E+00,0E+00,-5.954693593430134E-04,-1.926596755326989E-03,1.612604420848169E-04,-2.5379574905564023E-03,3.095312444677745E-04,6.055746406428932E-03,asset06,asset06,-1.459557E+06,2026-01-03 06:45:04,1.3E+02,prod-strategy-sgap3,2026-01-31 03:21:31,-1.9448436742082905E+01,3.4228067014951957E-03|bybit_spot,1.1428571428571428E-01,1.678496167658771E+00,1.39E+02,0E+00,4E+00,3.086100000000004E-04 | 0E+00
fr-STABLE-USDT-loong_by_byfutures_pm_mode_5,STABLE-USDT-FTR,-7.7133053799999995E+00,0E+00,-7.7133053799999995E+00,0E+00,0E+00,-1.7872E-04 | 0E+00,-5.907155042319999E-01,0E+00,-3.3257780500000003E+03,-3.3052568499999998E+03,0E+00,0E+00,0E+00,0E+00,0E+00,-2.319248387606623E-03,0E+00,0E+00,1.975724505129595E-04,asset06,asset06,-1.2215E+05,2026-01-03 14:22:59,0E+00,prod-strategy-sgap3,2026-01-19 12:16:43,0E+00,2.941176470588225E-03|bybit_spot,0E+00,1.9307011022193747E+00,0E+00,0E+00,0E+00,-2.1092399999999996E-03 | 0E+00
fr-STX-USDT-loong_by_byfutures_pm_mode_0,STX-USDT-FTR,-9.16929147E+00,0E+00,-9.16929147E+00,0E+00,0E+00,-1.9713E-04 | 0E+00,-3.4895562834564E-01,0E+00,-1.5741880030000002E+04,-1.770180228E+03,0E+00,0E+00,0E+00,0E+00,0E+00,-5.824775346099495E-04,0E+00,0E+00,9.351681821365441E-04,asset06,asset06,-6.8076E+03,2026-01-10 05:09:13,0E+00,prod-strategy-sgap3,2026-01-21 21:32:42,0E+00,2.6871401151631336E-03|bybit_spot,0E+00,1.2620122911167082E+00,0E+00,0E+00,0E+00,-1.1167299999999996E-03 | 0E+00
fr-STX-USDT-loong_by_byfutures_pm_mode_1,STX-USDT-FTR,-9.720504880519652E+00,-5.5121341051965E-01,-9.169291470000001E+00,6.06300137756989E+00,-3.208988021686673E+01,-1.9713E-04 | 0E+00,-3.4895562834564E-01,2.2472347239613533E+04,-1.5741880030000002E+04,-1.770180228E+03,1.4275516772321337E+00,-1.7829641046524045E-01,0E+00,-4.325540530712634E-04,-2.4528519635367182E-05,-5.824775346099496E-04,-1.4279718925088395E-03,2.697983131411491E-04,9.351681821365441E-04,asset06,asset06,-6.8076E+03,2026-01-21 21:09:33,1.7E+02,prod-strategy-sgap3,2026-01-31 09:08:15,1.2935851891864791E+00,2.6871401151631336E-03|bybit_spot,6.197183098591549E-01,1.2535057955368385E+00,0E+00,0E+00,4.4E+01,-1.1167299999999996E-03 | 0E+00
fr-LTC-USDT-loong_by_byfutures_pm_mode_0,LTC-USDT-FTR,-1.1848751815701263E+01,-8.099471019570126E+01,6.914595838E+01,1.757472191661774E+01,-6.931500008120202E+01,6.8E-06 | 0E+00,1.7169184E+00,5.6736074070557836E+04,-2.4423981600000002E+05,-2.52488E+05,2.3229658046646182E-01,1.8294492108413834E+01,0E+00,-2.0883982562780034E-04,-1.4275698754724379E-03,2.8310682309062987E-04,-1.2217094893629905E-03,3.0976274274391194E-04,1.4509404486554456E-02,asset06,asset06,-4.265E+03,2026-01-02 10:48:35,2.1E+02,prod-strategy-sgap3,2026-01-31 03:21:37,-3.805279989795671E+01,1.0138560324435275E-03|bybit_spot,2.040816326530612E-02,9.96739626455217E-01,3.2E+01,0E+00,3E+00,4.2157E-04 | 0E+00
